Date, Time, Temperature, Humidity, Pressure, Gyro_x, Gyro_y, Gyro_z 
02/22/17, 23:48:14, 24.3, 32.5, 1012.6, 0.0011305604130029678, 0.002779042348265648, 0.0033381059765815735
02/22/17, 23:48:17, 24.5, 32.7, 1012.6, 0.00021066144108772278, 0.0015311390161514282, 0.0029817037284374237
02/22/17, 23:48:20, 24.3, 34.2, 1012.6, 0.003096170723438263, 0.009913783520460129, 0.003832489252090454
02/22/17, 23:48:23, 24.6, 32.6, 1012.7, 0.0008597569540143013, 0.0013387873768806458, 0.0034677796065807343
02/22/17, 23:48:26, 24.3, 32.8, 1012.7, 0.0023869192227721214, 0.0019496511667966843, 0.0031623467803001404
02/22/17, 23:48:30, 24.9, 31.0, 1012.7, 0.0014706216752529144, 0.000727921724319458, 0.004078645259141922
02/22/17, 23:48:33, 24.9, 33.3, 1012.7, 0.6720083355903625, 0.248505100607872, 0.04195228964090347
02/22/17, 23:48:36, 24.6, 32.4, 1012.6, 0.2989619970321655, 0.02767731249332428, 0.1825406849384308
02/22/17, 23:48:39, 23.8, 32.5, 1012.6, 0.25131452083587646, 0.04997389391064644, 0.046623170375823975
02/22/17, 23:48:42, 24.3, 32.4, 1012.6, 0.011357547715306282, 0.005991596728563309, 0.016601383686065674
02/22/17, 23:48:45, 23.7, 32.3, 1012.7, 0.15552175045013428, 8.916071891784668, 2.0398764610290527
02/22/17, 23:48:49, 24.5, 32.7, 1012.6, 0.006776059046387672, 0.013861525803804398, 0.006216675043106079
02/22/17, 23:48:52, 23.8, 32.5, 1012.7, 0.489359587430954, 0.9641337394714355, 0.04143081605434418
02/22/17, 23:48:55, 23.9, 32.8, 1012.7, 1.3861098289489746, 0.4516177773475647, 0.6043431162834167
02/22/17, 23:48:58, 24.4, 34.0, 1012.6, 0.02418571710586548, 0.0020209718495607376, 0.0025514811277389526
02/22/17, 23:49:01, 23.9, 32.9, 1012.6, 0.7091580033302307, 0.4390237331390381, 0.177348330616951
02/22/17, 23:49:04, 24.9, 32.0, 1012.7, 0.0005543241277337074, 0.0016442183405160904, 0.006827540695667267
02/22/17, 23:49:08, 25.1, 32.8, 1012.7, 0.002947402186691761, 0.0010159872472286224, 0.004310395568609238
02/22/17, 23:49:11, 24.0, 33.1, 1012.7, 0.00019517261534929276, 0.00039831362664699554, 0.006640348583459854
02/22/17, 23:49:14, 24.5, 32.8, 1012.7, 0.00040870625525712967, 9.131990373134613e-05, 0.005327548831701279
02/22/17, 23:49:17, 24.6, 33.0, 1012.7, 0.002000558190047741, 0.0015912801027297974, 0.00463741272687912
02/22/17, 23:49:20, 24.0, 33.4, 1012.7, 0.0010360581800341606, 0.0003633406013250351, 0.00636126846075058
02/22/17, 23:49:23, 24.8, 32.8, 1012.7, 1.7920929193496704, 1.075065016746521, 0.6120341420173645
02/22/17, 23:49:26, 24.1, 32.6, 1012.6, 0.13084492087364197, 0.15907248854637146, 0.3444751799106598
02/22/17, 23:49:30, 24.6, 32.6, 1012.6, 0.0011019697412848473, 0.022659922018647194, 0.009826663881540298
02/22/17, 23:49:33, 24.6, 32.9, 1012.6, 0.22162432968616486, 0.06297703087329865, 0.03914819657802582
02/22/17, 23:49:36, 22.6, 33.3, 1012.6, 0.014169660396873951, 0.008304588496685028, 0.03965342044830322
02/22/17, 23:49:39, 23.2, 35.7, 1012.7, 0.05173787474632263, 0.011548532173037529, 0.06663712859153748
02/22/17, 23:49:42, 22.0, 39.7, 1012.7, 0.0074501438066363335, 0.02693597786128521, 0.029679782688617706
02/22/17, 23:49:46, 21.1, 40.7, 1012.7, 0.008891230449080467, 0.00955264363437891, 0.005757614970207214
02/22/17, 23:49:49, 20.9, 41.7, 1012.7, 0.04676487669348717, 0.03948504105210304, 0.04851818084716797
02/22/17, 23:49:52, 20.8, 41.8, 1012.7, 0.07486467808485031, 0.09476834535598755, 0.05279424041509628
